'Elapsed time','MLII','V1',
'hh:mm:ss.mmm','mV','mV',
'13:20.000',-0.095,0.22,11111111111000001100000
'13:20.003',-0.11,0.175,11111111110110111110000
'13:20.006',-0.135,0.085,11111111110100111100000
'13:20.008',-0.145,0.045,11111111110100000110000
'13:20.011',-0.135,0.11,11111111110100111100000
'13:20.014',-0.11,0.195,11111111110110111110000
'13:20.017',-0.095,0.23,11111111111000001100000
'13:20.019',-0.1,0.2,11111111110111110010000
'13:20.022',-0.13,0.13,11111111110101010110000
'13:20.025',-0.13,0.08,11111111110101010110000
'13:20.028',-0.125,0.105,11111111110101110000000
'13:20.031',-0.115,0.17,11111111110110100100000
'13:20.033',-0.09,0.195,11111111111000101000000
'13:20.036',-0.11,0.15,11111111110110111110000
'13:20.039',-0.12,0.07,11111111110110001010000
'13:20.042',-0.16,0.01,11111111110010111000000
'13:20.044',-0.155,-0.005,11111111110011010010000
'13:20.047',-0.125,0.04,11111111110101110000000
'13:20.050',-0.11,0.07,11111111110110111110000
'13:20.053',-0.11,0.12,11111111110110111110000
'13:20.056',-0.115,0.165,11111111110110100100000
'13:20.058',-0.13,0.175,11111111110101010110000
'13:20.061',-0.125,0.125,11111111110101110000000
'13:20.064',-0.135,0.05,11111111110100111100000
'13:20.067',-0.12,-0.005,11111111110110001010000
'13:20.069',-0.12,-0.01,11111111110110001010000
'13:20.072',-0.125,0.03,11111111110101110000000
'13:20.075',-0.13,0.1,11111111110101010110000
'13:20.078',-0.125,0.14,11111111110101110000000
'13:20.081',-0.135,0.17,11111111110100111100000
'13:20.083',-0.105,0.155,11111111110111011000000
'13:20.086',-0.13,0.085,11111111110101010110000
'13:20.089',-0.15,0.015,11111111110011101100000
'13:20.092',-0.14,-0.01,11111111110100100000000
'13:20.094',-0.13,0.025,11111111110101010110000
'13:20.097',-0.095,0.075,11111111111000001100000
'13:20.100',-0.105,0.1,11111111110111011000000
'13:20.103',-0.1,0.105,11111111110111110010000
'13:20.106',-0.115,0.085,11111111110110100100000
'13:20.108',-0.145,0.045,11111111110100000110000
'13:20.111',-0.13,0.05,11111111110101010110000
'13:20.114',-0.12,0.055,11111111110110001010000
'13:20.117',-0.11,0.065,11111111110110111110000
'13:20.119',-0.11,0.065,11111111110110111110000
'13:20.122',-0.11,0.075,11111111110110111110000
'13:20.125',-0.11,0.105,11111111110110111110000
'13:20.128',-0.105,0.18,11111111110111011000000
'13:20.131',-0.09,0.25,11111111111000101000000
'13:20.133',-0.105,0.23,11111111110111011000000
'13:20.136',-0.12,0.145,11111111110110001010000
'13:20.139',-0.17,0.04,11111111110010000100000
'13:20.142',-0.19,-0.085,11111111110000011010000
'13:20.144',-0.18,-0.255,11111111110001010000000
'13:20.147',-0.12,-0.435,11111111110110001010000
'13:20.150',0.015,-0.595,00000000000001001110000
'13:20.153',0.225,-0.68,00000000010010011010000
'13:20.156',0.455,-0.705,00000000100101010000000
'13:20.158',0.665,-0.635,00000000110110011110000
'13:20.161',0.805,-0.535,00000001000001111100000
'13:20.164',0.835,-0.435,00000001000100011000000
'13:20.167',0.705,-0.355,00000000111001110000000
'13:20.169',0.38,-0.265,00000000011111001000000
'13:20.172',0.005,-0.15,00000000000000011010000
'13:20.175',-0.26,-0.01,11111111101010101100000
