   Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.000        0     "    0    0    0	## time resolution: 128
    0:00.000        0          0    0    0
    0:00.359       46     N    0    0    0
    0:00.875      112     V    0    0    0
    0:01.539      197     N    0    0    0
    0:02.094      268     V    0    0    0
    0:02.766      354     N    0    0    0
    0:03.297      422     V    0    0    0
    0:03.961      507     N    0    0    0
    0:04.492      575     V    0    0    0
    0:05.156      660     N    0    0    0
    0:05.633      721     V    0    0    0
    0:06.313      808     N    0    0    0
    0:06.922      886     N    0    0    0
    0:07.523      963     N    0    0    0
    0:08.141     1042     N    0    0    0
    0:08.625     1104     V    0    0    0
    0:09.305     1191     N    0    0    0
    0:09.820     1257     V    0    0    0
    0:10.484     1342     N    0    0    0
    0:11.039     1413     V    0    0    0
    0:11.688     1496     N    0    0    0
    0:12.227     1565     V    0    0    0
    0:12.891     1650     N    0    0    0
    0:13.492     1727     N    0    0    0
    0:14.086     1803     N    0    0    0
    0:14.688     1880     N    0    0    0
    0:15.203     1946     V    0    0    0
    0:15.875     2032     N    0    0    0
    0:16.391     2098     V    0    0    0
    0:17.070     2185     N    0    0    0
    0:17.672     2262     N    0    0    0
    0:18.281     2340     N    0    0    0
    0:18.867     2415     N    0    0    0
    0:19.453     2490     N    0    0    0
    0:20.047     2566     N    0    0    0
    0:20.648     2643     N    0    0    0
    0:21.234     2718     N    0    0    0
    0:21.820     2793     N    0    0    0
    0:22.367     2863     V    0    0    0
    0:23.008     2945     N    0    0    0
    0:23.539     3013     V    0    0    0
    0:24.219     3100     N    0    0    0
    0:24.758     3169     V    0    0    0
    0:25.445     3257     N    0    0    0
    0:25.969     3324     V    0    0    0
    0:26.633     3409     N    0    0    0
    0:27.164     3477     V    0    0    0
    0:28.039     3589     N    0    0    0
    0:28.555     3655     V    0    0    0
    0:29.297     3750     N    0    0    0
    0:29.938     3832     N    0    0    0
    0:30.539     3909     N    0    0    0
    0:31.148     3987     N    0    0    0
    0:31.719     4060     N    0    0    0
    0:32.305     4135     N    0    0    0
    0:32.906     4212     N    0    0    0
    0:33.430     4279     V    0    0    0
    0:34.078     4362     N    0    0    0
    0:34.602     4429     V    0    0    0
    0:35.164     4501     N    0    0    0
    0:35.711     4571     V    0    0    0
    0:36.367     4655     N    0    0    0
    0:36.859     4718     S    0    0    0
    0:37.258     4769     S    0    0    0
    0:37.711     4827     S    0    0    0
    0:38.219     4892     S    0    0    0
    0:38.711     4955     S    0    0    0
    0:39.195     5017     S    0    0    0
    0:39.664     5077     S    0    0    0
    0:40.094     5132     S    0    0    0
    0:40.555     5191     S    0    0    0
    0:40.984     5246     S    0    0    0
    0:41.430     5303     S    0    0    0
    0:41.875     5360     S    0    0    0
    0:42.375     5424     S    0    0    0
    0:42.836     5483     S    0    0    0
    0:43.328     5546     S    0    0    0
    0:43.797     5606     S    0    0    0
    0:44.281     5668     S    0    0    0
    0:44.781     5732     S    0    0    0
    0:45.266     5794     S    0    0    0
    0:45.789     5861     S    0    0    0
    0:46.281     5924     S    0    0    0
    0:46.758     5985     S    0    0    0
    0:47.242     6047     S    0    0    0
    0:47.750     6112     S    0    0    0
    0:48.328     6186     S    0    0    0
    0:48.930     6263     S    0    0    0
    0:49.430     6327     S    0    0    0
    0:50.047     6406     S    0    0    0
    0:50.563     6472     V    0    0    0
    0:51.469     6588     N    0    0    0
    0:51.953     6650     V    0    0    0
    0:52.844     6764     N    0    0    0
    0:53.344     6828     V    0    0    0
    0:54.172     6934     N    0    0    0
    0:54.664     6997     V    0    0    0
    0:55.406     7092     N    0    0    0
    0:55.930     7159     V    0    0    0
    0:56.633     7249     N    0    0    0
    0:57.156     7316     V    0    0    0
    0:57.883     7409     N    0    0    0
    0:58.367     7471     V    0    0    0
    0:59.109     7566     N    0    0    0
    0:59.609     7630     V    0    0    0
